type,geometry.type,geometry.coordinates,properties.id_station,properties.denominazione,properties.rete,properties.interesse_rete,properties.tipologia_di_stazione,properties.tipologia_di_area,properties.comune,properties.provincia,properties.paese,properties.paese_esteso,properties.inquinante_misurato,properties.valore_inquinante_misurato,properties.limite,properties.superamenti,properties.unita_misura,properties.indice_qualita,properties.data_di_misurazione,properties.responsabile_dato,properties.punto_di_contatto,properties.sorgente,properties.version,properties.marker-color,properties.name
Feature,Point,"[16.561014, 40.82885]",64,Altamura - Via Santeramo,RRQA,PUBBLICO,Fondo,Suburbana,Altamura,Bari,IT,Italy,NO2,54.0,200.0,0,µg/m³,27.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Altamura - Via Santeramo
Feature,Point,"[16.561014, 40.82885]",64,Altamura - Via Santeramo,RRQA,PUBBLICO,Fondo,Suburbana,Altamura,Bari,IT,Italy,O3,103.0,180.0,0,µg/m³,57.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#9acc00,Altamura - Via Santeramo
Feature,Point,"[16.561014, 40.82885]",64,Altamura - Via Santeramo,RRQA,PUBBLICO,Fondo,Suburbana,Altamura,Bari,IT,Italy,PM10,15.0,50.0,2,µg/m³,30.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Altamura - Via Santeramo
Feature,Point,"[16.561014, 40.82885]",64,Altamura - Via Santeramo,RRQA,PUBBLICO,Fondo,Suburbana,Altamura,Bari,IT,Italy,PM2.5,8.0,25.0,1,µg/m³,32.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Altamura - Via Santeramo
Feature,Point,"[16.888063, 41.11354]",17,Bari - Caldarola,RRQA,PUBBLICO,Traffico,Urbana,Bari,Bari,IT,Italy,C6H6,,5.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Bari - Caldarola
Feature,Point,"[16.888063, 41.11354]",17,Bari - Caldarola,RRQA,PUBBLICO,Traffico,Urbana,Bari,Bari,IT,Italy,CO,0.2,10.0,0,mg/m³,2.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Bari - Caldarola
Feature,Point,"[16.888063, 41.11354]",17,Bari - Caldarola,RRQA,PUBBLICO,Traffico,Urbana,Bari,Bari,IT,Italy,NO2,34.0,200.0,0,µg/m³,17.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Bari - Caldarola
Feature,Point,"[16.888063, 41.11354]",17,Bari - Caldarola,RRQA,PUBBLICO,Traffico,Urbana,Bari,Bari,IT,Italy,PM10,15.0,50.0,3,µg/m³,30.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Bari - Caldarola
Feature,Point,"[16.888063, 41.11354]",17,Bari - Caldarola,RRQA,PUBBLICO,Traffico,Urbana,Bari,Bari,IT,Italy,PM2.5,6.0,25.0,7,µg/m³,24.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Bari - Caldarola
Feature,Point,"[16.866943, 41.076668]",81,Bari - Carbonara,RRQA,PUBBLICO,Fondo,Suburbana,Bari,Bari,IT,Italy,NO2,25.0,200.0,0,µg/m³,13.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Bari - Carbonara
